date;y;x;temp_avg;temp_max;temp_min;prec;global_rad;vapour_press;site;wind_speed_avg;snow_depth;pot_evap
2006-01-01;7035000;3585000;-0.8;0.3;-1.5;3.4;140;5.6; juuka;NaN;NaN;NaN
2006-01-02;7035000;3585000;-1.4;-0.9;-1.7;5.0;130;5.5; juuka;NaN;NaN;NaN
2006-01-03;7035000;3585000;-2.6;-0.9;-3.0;0.0;108;5.02; juuka;NaN;NaN;NaN
2006-01-04;7035000;3585000;-4.3;-2.5;-4.8;0.0;108;4.34; juuka;NaN;NaN;NaN
2006-01-05;7035000;3585000;-3.3;-2.1;-4.7;1.5;119;4.76; juuka;NaN;NaN;NaN
2006-01-06;7035000;3585000;-2.2;-1.7;-3.0;0.0;140;5.18; juuka;NaN;NaN;NaN
2006-01-07;7035000;3585000;-5.7;-3.0;-7.6;0.0;119;4.04; juuka;NaN;NaN;NaN
2006-01-08;7035000;3585000;-5.5;-4.0;-10.4;0.0;140;4.07; juuka;NaN;NaN;NaN
2006-01-09;7035000;3585000;-5.4;-4.5;-5.9;0.0;130;4.06; juuka;NaN;NaN;NaN
2006-01-10;7035000;3585000;-5.2;-3.4;-8.0;2.2;313;4.13; juuka;NaN;NaN;NaN
2006-01-11;7035000;3585000;-0.4;0.6;-3.3;5.2;119;5.96; juuka;NaN;NaN;NaN
2006-01-12;7035000;3585000;1.3;1.9;0.5;0.1;583;5.96; juuka;NaN;NaN;NaN
2006-01-13;7035000;3585000;-3.8;2.7;-6.3;0.0;626;4.44; juuka;NaN;NaN;NaN
2006-01-14;7035000;3585000;-2.9;-2.3;-3.4;0.0;400;4.88; juuka;NaN;NaN;NaN
2006-01-15;7035000;3585000;-1.5;-1.2;-2.3;0.2;292;5.35; juuka;NaN;NaN;NaN
2006-01-16;7035000;3585000;-5.2;-1.5;-9.4;0.4;324;4.09; juuka;NaN;NaN;NaN
2006-01-17;7035000;3585000;-19.4;-9.9;-22.1;0.0;1631;0.98; juuka;NaN;NaN;NaN
2006-01-18;7035000;3585000;-25.4;-21.8;-26.5;0.0;1696;0.59; juuka;NaN;NaN;NaN
2006-01-19;7035000;3585000;-27.7;-25.1;-29.1;0.0;1717;0.49; juuka;NaN;NaN;NaN
2006-01-20;7035000;3585000;-28.5;-25.5;-32.5;0.0;1868;0.42; juuka;NaN;NaN;NaN
2006-01-21;7035000;3585000;-30.4;-27.9;-31.8;0.0;2106;0.37; juuka;NaN;NaN;NaN
