date;y;x;temp_avg;temp_max;temp_min;prec;global_rad;vapour_press;site;wind_speed_avg;snow_depth;pot_evap
2006-01-01;6805000;3395000;-1.2;0.6;-2.4;2.4;259;5.22; vesijako;NaN;NaN;NaN
2006-01-02;6805000;3395000;-0.8;0.2;-2.4;2.0;205;5.53; vesijako;NaN;NaN;NaN
2006-01-03;6805000;3395000;-2.2;-1.1;-2.5;0.0;281;5.01; vesijako;NaN;NaN;NaN
2006-01-04;6805000;3395000;-2.6;-1.8;-2.8;0.0;238;4.76; vesijako;NaN;NaN;NaN
2006-01-05;6805000;3395000;-2.8;-1.8;-3.9;0.0;356;4.7; vesijako;NaN;NaN;NaN
2006-01-06;6805000;3395000;-1.7;-1.0;-2.3;0.0;389;5.16; vesijako;NaN;NaN;NaN
2006-01-07;6805000;3395000;-4.7;-2.0;-6.0;0.0;767;4.11; vesijako;NaN;NaN;NaN
2006-01-08;6805000;3395000;-9.0;-4.4;-11.1;0.0;994;3.01; vesijako;NaN;NaN;NaN
2006-01-09;6805000;3395000;-3.5;-2.2;-10.0;0.0;367;4.55; vesijako;NaN;NaN;NaN
2006-01-10;6805000;3395000;-2.5;0.5;-7.7;0.7;605;4.88; vesijako;NaN;NaN;NaN
2006-01-11;6805000;3395000;1.3;2.0;0.3;4.4;108;6.57; vesijako;NaN;NaN;NaN
2006-01-12;6805000;3395000;1.3;2.4;0.5;0.1;896;6.1; vesijako;NaN;NaN;NaN
2006-01-13;6805000;3395000;-1.2;1.1;-4.5;0.0;205;5.49; vesijako;NaN;NaN;NaN
2006-01-14;6805000;3395000;-0.8;0.8;-2.1;0.0;821;5.4; vesijako;NaN;NaN;NaN
2006-01-15;6805000;3395000;-0.8;0.6;-1.5;0.2;443;5.29; vesijako;NaN;NaN;NaN
2006-01-16;6805000;3395000;-2.1;-0.8;-2.5;0.2;302;4.94; vesijako;NaN;NaN;NaN
2006-01-17;6805000;3395000;-8.3;-2.0;-13.7;0.3;583;2.82; vesijako;NaN;NaN;NaN
2006-01-18;6805000;3395000;-18.3;-13.4;-19.4;0.0;1199;0.95; vesijako;NaN;NaN;NaN
2006-01-19;6805000;3395000;-23.2;-19.3;-24.8;0.0;1825;0.73; vesijako;NaN;NaN;NaN
2006-01-20;6805000;3395000;-24.6;-20.5;-27.7;0.0;2074;0.67; vesijako;NaN;NaN;NaN
2006-01-21;6805000;3395000;-23.3;-21.5;-24.5;0.0;2538;0.73; vesijako;NaN;NaN;NaN
2006-01-22;6805000;3395000;-24.5;-20.7;-27.1;0.0;2257;0.69; vesijako;NaN;NaN;NaN
2006-01-23;6805000;3395000;-10.7;-4.3;-24.3;0.7;421;2.74; vesijako;NaN;NaN;NaN
2006-01-24;6805000;3395000;-2.9;-2.3;-4.3;5.1;346;4.7; vesijako;NaN;NaN;NaN
