date;y;x;temp_avg;temp_max;temp_min;prec;global_rad;vapour_press;site;wind_speed_avg;snow_depth;pot_evap
2006-01-01;6885000;3275000;-1.2;0.4;-3.2;4.7;151;5.2; haadetjarvi;NaN;NaN;NaN
2006-01-02;6885000;3275000;-0.9;0.3;-2.3;1.9;119;5.41; haadetjarvi;NaN;NaN;NaN
2006-01-03;6885000;3275000;-2.4;-0.9;-2.9;0.0;173;4.95; haadetjarvi;NaN;NaN;NaN
2006-01-04;6885000;3275000;-3.0;-2.3;-3.7;0.0;216;4.6; haadetjarvi;NaN;NaN;NaN
2006-01-05;6885000;3275000;-4.8;-2.3;-8.2;0.0;205;4.17; haadetjarvi;NaN;NaN;NaN
2006-01-06;6885000;3275000;-1.4;-1.0;-2.4;0.0;184;5.38; haadetjarvi;NaN;NaN;NaN
2006-01-07;6885000;3275000;-1.8;-0.6;-2.5;0.0;281;5.36; haadetjarvi;NaN;NaN;NaN
2006-01-08;6885000;3275000;-3.2;-2.1;-4.4;0.0;486;4.8; haadetjarvi;NaN;NaN;NaN
2006-01-09;6885000;3275000;-2.4;-1.9;-2.9;0.0;216;5.03; haadetjarvi;NaN;NaN;NaN
2006-01-10;6885000;3275000;-3.1;-0.1;-5.9;1.1;832;4.77; haadetjarvi;NaN;NaN;NaN
2006-01-11;6885000;3275000;0.7;1.7;-0.8;11.2;108;6.39; haadetjarvi;NaN;NaN;NaN
2006-01-12;6885000;3275000;1.3;2.3;0.7;0.0;886;5.83; haadetjarvi;NaN;NaN;NaN
2006-01-13;6885000;3275000;-0.9;1.5;-3.6;0.0;248;5.62; haadetjarvi;NaN;NaN;NaN
2006-01-14;6885000;3275000;-1.1;0.0;-2.4;0.0;367;5.46; haadetjarvi;NaN;NaN;NaN
2006-01-15;6885000;3275000;-0.8;0.0;-1.8;0.0;389;5.72; haadetjarvi;NaN;NaN;NaN
2006-01-16;6885000;3275000;-1.2;-0.5;-1.6;0.2;259;5.47; haadetjarvi;NaN;NaN;NaN
2006-01-17;6885000;3275000;-5.2;-1.2;-10.3;0.0;313;3.56; haadetjarvi;NaN;NaN;NaN
2006-01-18;6885000;3275000;-17.3;-10.4;-19.7;0.0;1328;1.08; haadetjarvi;NaN;NaN;NaN
2006-01-19;6885000;3275000;-24.8;-19.7;-26.9;0.0;1598;0.75; haadetjarvi;NaN;NaN;NaN
