date;y;x;temp_avg;temp_max;temp_min;prec;global_rad;vapour_press;site;wind_speed_avg;snow_depth;pot_evap
2006-01-01;6635000;3185000;1.7;3.7;-0.7;10.8;173;6.23; lintupirtti;NaN;NaN;NaN
2006-01-02;6635000;3185000;0.8;4.0;0.2;0.1;238;5.72; lintupirtti;NaN;NaN;NaN
2006-01-03;6635000;3185000;0.4;1.7;-1.0;0.0;788;5.5; lintupirtti;NaN;NaN;NaN
2006-01-04;6635000;3185000;1.2;1.6;-0.3;0.0;767;5.62; lintupirtti;NaN;NaN;NaN
2006-01-05;6635000;3185000;1.0;2.2;-0.1;0.0;432;5.28; lintupirtti;NaN;NaN;NaN
2006-01-06;6635000;3185000;0.4;0.6;-0.1;0.0;367;5.17; lintupirtti;NaN;NaN;NaN
2006-01-07;6635000;3185000;0.1;0.9;-0.7;0.0;356;5.67; lintupirtti;NaN;NaN;NaN
2006-01-08;6635000;3185000;-0.1;1.1;-1.4;0.0;367;5.83; lintupirtti;NaN;NaN;NaN
2006-01-09;6635000;3185000;0.1;1.0;-1.0;0.0;464;5.73; lintupirtti;NaN;NaN;NaN
2006-01-10;6635000;3185000;2.8;3.9;0.7;1.7;648;6.31; lintupirtti;NaN;NaN;NaN
2006-01-11;6635000;3185000;4.0;4.4;2.6;0.2;227;7.68; lintupirtti;NaN;NaN;NaN
2006-01-12;6635000;3185000;3.8;5.1;3.3;0.0;1015;6.8; lintupirtti;NaN;NaN;NaN
2006-01-13;6635000;3185000;3.3;3.7;3.1;0.0;713;7.03; lintupirtti;NaN;NaN;NaN
2006-01-14;6635000;3185000;2.3;3.8;1.3;0.0;1037;6.64; lintupirtti;NaN;NaN;NaN
2006-01-15;6635000;3185000;1.5;2.2;-1.2;0.0;605;6.02; lintupirtti;NaN;NaN;NaN
2006-01-16;6635000;3185000;1.6;2.4;0.8;0.0;302;6.05; lintupirtti;NaN;NaN;NaN
2006-01-17;6635000;3185000;0.0;1.7;-0.3;0.0;367;4.9; lintupirtti;NaN;NaN;NaN
2006-01-18;6635000;3185000;-5.6;0.1;-7.9;2.2;853;3.32; lintupirtti;NaN;NaN;NaN
2006-01-19;6635000;3185000;-9.8;-7.0;-10.5;0.7;875;2.54; lintupirtti;NaN;NaN;NaN
2006-01-20;6635000;3185000;-11.5;-8.5;-11.9;0.0;853;1.97; lintupirtti;NaN;NaN;NaN
2006-01-21;6635000;3185000;-9.9;-8.7;-11.3;0.3;562;2.21; lintupirtti;NaN;NaN;NaN
2006-01-22;6635000;3185000;-7.5;-5.3;-10.0;0.3;1804;2.78; lintupirtti;NaN;NaN;NaN
2006-01-23;6635000;3185000;-1.9;-0.3;-6.0;0.2;389;4.4; lintupirtti;NaN;NaN;NaN
2006-01-24;6635000;3185000;-0.2;0.8;-1.0;0.0;1004;5.11; lintupirtti;NaN;NaN;NaN
2006-01-25;6635000;3185000;0.6;1.3;0.0;0.1;1177;6.0; lintupirtti;NaN;NaN;NaN
2006-01-26;6635000;3185000;-0.3;0.6;-1.5;0.0;2290;5.19; lintupirtti;NaN;NaN;NaN
2006-01-27;6635000;3185000;1.5;2.5;0.4;0.0;1966;6.1; lintupirtti;NaN;NaN;NaN
2006-01-28;6635000;3185000;0.9;1.9;-0.8;0.0;2160;6.1; lintupirtti;NaN;NaN;NaN
2006-01-29;6635000;3185000;2.5;3.0;1.9;1.3;2722;6.33; lintupirtti;NaN;NaN;NaN
2006-01-30;6635000;3185000;2.7;4.3;1.9;3.9;1836;6.56; lintupirtti;NaN;NaN;NaN
2006-01-31;6635000;3185000;1.5;2.6;0.2;1.1;1091;6.55; lintupirtti;NaN;NaN;NaN
2006-02-01;6635000;3185000;2.6;4.2;2.0;0.3;1620;6.97; lintupirtti;NaN;NaN;NaN
2006-02-02;6635000;3185000;0.9;3.3;-0.5;1.0;1350;6.11; lintupirtti;NaN;NaN;NaN
2006-02-03;6635000;3185000;-4.7;1.2;-8.3;1.5;659;3.99; lintupirtti;NaN;NaN;NaN
2006-02-04;6635000;3185000;-11.7;-8.3;-12.8;0.1;2419;2.21; lintupirtti;NaN;NaN;NaN
2006-02-05;6635000;3185000;-11.4;-10.3;-13.0;0.0;3316;2.03; lintupirtti;NaN;NaN;NaN
2006-02-06;6635000;3185000;-6.4;-2.3;-10.7;0.3;2862;3.12; lintupirtti;NaN;NaN;NaN
2006-02-07;6635000;3185000;-3.9;-1.7;-5.4;0.0;1685;4.13; lintupirtti;NaN;NaN;NaN
2006-02-08;6635000;3185000;-5.2;-4.5;-6.3;0.5;1048;3.78; lintupirtti;NaN;NaN;NaN
2006-02-09;6635000;3185000;-3.9;-3.3;-4.6;1.3;378;4.2; lintupirtti;NaN;NaN;NaN
2006-02-10;6635000;3185000;-3.0;-1.3;-4.8;0.8;1026;4.51; lintupirtti;NaN;NaN;NaN
2006-02-11;6635000;3185000;-1.5;-0.2;-2.7;0.0;4082;4.65; lintupirtti;NaN;NaN;NaN
2006-02-12;6635000;3185000;-0.4;0.7;-1.4;0.1;1966;5.1; lintupirtti;NaN;NaN;NaN
2006-02-13;6635000;3185000;-0.7;0.9;-1.8;0.1;2959;5.2; lintupirtti;NaN;NaN;NaN
2006-02-14;6635000;3185000;-1.5;-0.2;-2.2;0.0;3996;4.84; lintupirtti;NaN;NaN;NaN
2006-02-15;6635000;3185000;-1.7;-1.1;-2.2;0.0;1825;4.13; lintupirtti;NaN;NaN;NaN
2006-02-16;6635000;3185000;-3.8;-1.9;-4.6;0.0;4504;3.92; lintupirtti;NaN;NaN;NaN
2006-02-17;6635000;3185000;-5.5;-3.8;-7.1;0.0;4288;3.4; lintupirtti;NaN;NaN;NaN
2006-02-18;6635000;3185000;-3.3;-1.9;-5.6;2.5;983;4.24; lintupirtti;NaN;NaN;NaN
2006-02-19;6635000;3185000;-0.6;-0.4;-1.8;0.1;486;5.43; lintupirtti;NaN;NaN;NaN
2006-02-20;6635000;3185000;-0.9;-0.2;-1.6;0.0;2840;5.15; lintupirtti;NaN;NaN;NaN
2006-02-21;6635000;3185000;-2.1;-0.7;-3.2;0.0;2722;4.78; lintupirtti;NaN;NaN;NaN
2006-02-22;6635000;3185000;-0.2;0.7;-2.9;0.9;2149;5.8; lintupirtti;NaN;NaN;NaN
2006-02-23;6635000;3185000;-4.0;0.6;-5.2;0.0;8035;3.99; lintupirtti;NaN;NaN;NaN
2006-02-24;6635000;3185000;-1.3;0.3;-4.7;0.0;5983;5.12; lintupirtti;NaN;NaN;NaN
2006-02-25;6635000;3185000;-0.3;0.7;-1.5;0.0;5443;5.32; lintupirtti;NaN;NaN;NaN
2006-02-26;6635000;3185000;-2.1;-0.6;-3.1;0.4;7376;3.93; lintupirtti;NaN;NaN;NaN
2006-02-27;6635000;3185000;-5.2;-3.0;-6.1;5.7;5821;3.52; lintupirtti;NaN;NaN;NaN
2006-02-28;6635000;3185000;-2.5;-0.2;-6.2;1.0;1253;4.35; lintupirtti;NaN;NaN;NaN
2006-03-01;6635000;3185000;-3.1;-1.1;-4.4;0.0;5011;3.79; lintupirtti;NaN;NaN;NaN
2006-03-02;6635000;3185000;-6.1;-2.8;-8.2;0.1;2549;3.12; lintupirtti;NaN;NaN;NaN
2006-03-03;6635000;3185000;-7.6;-5.6;-8.1;2.7;3607;3.12; lintupirtti;NaN;NaN;NaN
2006-03-04;6635000;3185000;-4.4;-1.9;-7.5;3.6;3661;4.19; lintupirtti;NaN;NaN;NaN
2006-03-05;6635000;3185000;-4.1;-1.9;-5.3;5.2;3305;4.29; lintupirtti;NaN;NaN;NaN
2006-03-06;6635000;3185000;-6.5;-3.6;-8.3;0.2;2916;3.47; lintupirtti;NaN;NaN;NaN
2006-03-07;6635000;3185000;-8.9;-7.1;-10.3;0.0;9666;2.55; lintupirtti;NaN;NaN;NaN
2006-03-08;6635000;3185000;-4.5;-1.9;-9.2;0.4;2776;3.9; lintupirtti;NaN;NaN;NaN
2006-03-09;6635000;3185000;-8.5;-5.9;-9.7;0.0;7042;2.74; lintupirtti;NaN;NaN;NaN
2006-03-10;6635000;3185000;-10.6;-7.6;-12.7;0.0;9256;2.32; lintupirtti;NaN;NaN;NaN
2006-03-11;6635000;3185000;-10.5;-7.5;-14.0;0.0;11707;2.29; lintupirtti;NaN;NaN;NaN
2006-03-12;6635000;3185000;-7.6;-5.4;-9.8;0.0;11081;2.9; lintupirtti;NaN;NaN;NaN
2006-03-13;6635000;3185000;-6.9;-2.9;-10.0;0.0;11092;2.97; lintupirtti;NaN;NaN;NaN
2006-03-14;6635000;3185000;-4.1;-2.9;-7.2;0.0;4385;4.0; lintupirtti;NaN;NaN;NaN
2006-03-15;6635000;3185000;-3.0;-2.2;-4.4;0.0;6836;4.38; lintupirtti;NaN;NaN;NaN
2006-03-16;6635000;3185000;-3.9;-2.7;-5.1;0.0;7625;4.13; lintupirtti;NaN;NaN;NaN
2006-03-17;6635000;3185000;-4.2;-1.3;-7.0;0.0;11696;4.07; lintupirtti;NaN;NaN;NaN
