pvm;1_Lompolojanganoja
2013-06-05;1.810073143820953
2013-06-06;1.4309133916590897
2013-06-07;1.2048104155031165
2013-06-08;1.066047887725286
2013-06-09;0.9845487430163494
2013-06-10;0.9515609939674943
2013-06-11;0.9137686231292907
2013-06-12;0.8478263520149096
2013-06-13;0.8051097422473751
2013-06-14;0.7539136063343244
2013-06-15;0.7540199326809767
2013-06-16;0.7106055562635368
2013-06-17;0.6378185265834175
2013-06-18;1.20205922128349
2013-06-19;1.8666055332566127
2013-06-20;1.0398783156555056
2013-06-21;1.1861368508723178
2013-06-22;1.0556079695633702
2013-06-23;1.2579735888292334
2013-06-24;0.913270218379359
2013-06-25;0.7090106610637533
2013-06-26;0.8485241186648149
2013-06-27;0.6572230848474501
2013-06-28;0.6556281896476663
2013-06-29;0.6422842331428116
2013-06-30;0.7535215279310443
2013-07-01;1.3008363973234138
2013-07-02;1.7293913829019054
2013-07-03;1.6757630318091854
2013-07-04;0.9986702109310991
2013-07-05;0.7212647725154231
2013-07-06;0.6485574875952935
2013-07-07;0.5738167112954389
2013-07-08;0.5327082875210193
2013-07-09;0.567184605423006
2013-07-10;0.7314255840173772
2013-07-11;0.5789735391080724
2013-07-12;0.4845424524875577
2013-07-13;0.4735443210057175
2013-07-14;0.9318706836468336
2013-07-15;0.7540664504576371
2013-07-16;0.7516541714679644
2013-07-17;1.040017868985486
2013-07-18;0.7581998871837424
2013-07-19;0.7114030038634285
2013-07-20;0.5951484345925434
2013-07-21;0.6777640059413284
2013-07-22;0.8539999255174046
2013-07-23;0.5696168206026759
2013-07-24;0.47583698285540604
2013-07-25;0.4275515306819607
2013-07-26;0.39985351737905406
2013-07-27;0.3827216847747131
2013-07-28;0.3560138355750053
2013-07-29;0.37041441014971715
2013-07-30;0.3538806632452949
2013-07-31;0.33692161095426365
2013-08-01;0.3247140172792542
2013-08-02;0.32097930435309446
2013-08-03;0.31428738991066946
2013-08-04;0.29673025191971963
2013-08-05;0.2831736427215598
2013-08-06;0.2695239979700794
2013-08-07;0.26279885654432567
2013-08-08;0.2706537154032592
2013-08-09;0.26217418925774383
2013-08-10;0.2536016275589075
2013-08-11;0.24629833662323228
2013-08-12;0.24708249342979238
2013-08-13;0.2601141162913568
2013-08-14;0.2868884194577222
2013-08-15;0.293268000256856
2013-08-16;0.27723265810236614
2013-08-17;0.2891345635307508
2013-08-18;0.3553492959084288
2013-08-19;0.41899890517312177
2013-08-20;0.4678359252698257
2013-08-21;0.39041705411366845
2013-08-22;0.3310736618883908
2013-08-23;0.30184720735235826
2013-08-24;0.279777845025354
2013-08-25;0.2623203879843906
2013-08-26;0.2548708983220685
2013-08-27;0.25513006879203337
2013-08-28;0.2549107707020631
2013-08-29;0.2475410257997302
2013-08-30;0.2332733591583336
2013-08-31;0.22615613932929984
2013-09-01;0.22635550122927273
2013-09-02;0.22715294882916454
2013-09-03;0.2283491202290021
2013-09-04;0.2277510345290833
2013-09-05;0.22216225593317537
2013-09-06;0.21586241989403054
2013-09-07;0.22355114383632005
2013-09-08;0.21001447082815766
2013-09-09;0.20280421544580315
2013-09-10;0.20279092465247156
2013-09-11;0.21546369609408458
2013-09-12;0.23226990426180313
2013-09-13;0.2193578985402227
2013-09-14;0.2148589649975001
2013-09-15;0.20963568321820902
2013-09-16;0.20279092465247164
2013-09-17;0.20261149894249597
2013-09-18;0.2052098490388098
2013-09-19;0.2016744980126232
2013-09-20;0.20074414247941616
2013-09-21;0.20093021358605756
2013-09-22;0.20489086999885314
2013-09-23;0.20447221000891003
2013-09-24;0.21097805334469352
2013-09-25;0.20334913797239582
2013-09-26;0.24890997751287772
2013-09-27;0.33803803759411216
2013-09-28;0.2050171325355027
2013-09-29;0.18151236452869343
2013-09-30;0.17428881835300739
2013-10-01;0.1911016719173917
2013-10-02;0.19086908303408992
2013-10-03;0.15747596478862302
2013-10-04;0.1515289993124303
2013-10-05;0.18412068272000603
2013-10-06;0.1831172278234756
2013-10-07;0.1402338185996302
2013-10-08;0.1323856051373623
2013-10-09;0.29549221452088753
2013-10-10;0.32098594974976025
2013-10-11;0.1675895939742501
2013-10-12;0.11710451550443664
2013-10-13;0.10777504312536976
2013-10-14;0.1044310795231571
2013-10-15;0.09891141305257294
2013-10-16;0.09476335645380272
2013-10-17;0.09214108292949211
2013-10-18;0.0872806398081518
2013-10-19;0.08343029698000788
2013-10-20;0.08082264332836185
2013-10-21;0.0765363624789437
2013-10-22;0.07307145265741405
2013-10-23;0.08708991692384438
2013-10-24;0.10381505125224066
2013-10-25;0.1161821344472285
