time;UTC;ID;cloudiness;hpa;rh;rainfall;snowdepth;t_mean;t_min;t_max;t_dewpoint;visibility;wind_direction;gust_speed;wind_speed;lamposumma_v;radiation
2009-07-15;0;1;2.0;1009.9333333333334;77.66666666666667;1.8;-1.0;12.849999999999996;6.7;18.0;8.754166666666666;;251.95833333333334;4.791666666666666;2.7791666666666663;296.55269151138714;211.88604166666664
2009-07-16;0;1;5.708333333333333;1012.2874999999999;83.375;0.30000000000000004;-1.0;10.475;5.5;14.4;7.708333333333333;;110.58333333333333;2.3333333333333335;1.3375000000000001;302.02769151138716;133.00458333333333
2009-07-17;0;1;6.791666666666667;1008.0458333333332;74.20833333333333;1.4;-1.0;9.904166666666667;7.2;13.6;5.245833333333333;;291.125;5.4125000000000005;3.0291666666666672;306.9318581780538;174.61500000000004
2009-07-18;0;1;6.875;1010.0000000000001;76.41666666666667;0.2;-1.0;8.445833333333335;6.1;11.0;4.416666666666667;;248.375;6.0;3.4374999999999996;310.3776915113871;147.11437500000005
2009-07-19;0;1;5.541666666666667;1012.0624999999999;65.375;0.0;-1.0;10.3375;6.8;14.0;3.8958333333333335;;265.9583333333333;4.166666666666667;2.391666666666667;315.7151915113871;201.3425
2009-07-20;0;1;2.875;1005.2875;64.75;0.2;-1.0;12.029166666666669;5.3;17.5;5.191666666666667;;194.95833333333334;4.237499999999999;2.4708333333333337;322.74435817805374;250.2483333333333
2009-07-21;0;1;3.9583333333333335;999.4291666666668;65.08333333333333;0.1;-1.0;10.85;4.1;15.2;4.1499999999999995;;98.5;4.249999999999999;2.5375;328.59435817805377;244.86666666666667
2009-07-22;0;1;4.875;1004.1041666666669;70.75;0.0;-1.0;12.487499999999999;6.5;17.1;6.983333333333334;;129.33333333333334;2.975;1.6416666666666666;336.0818581780538;171.23000000000005
2009-07-23;0;1;5.291666666666667;1009.3749999999999;62.708333333333336;0.0;-1.0;15.695833333333333;8.9;20.9;8.066666666666666;;127.125;5.245833333333332;3.0500000000000003;346.7776915113871;160.7516666666666
2009-07-24;0;1;5.791666666666667;1008.5625;69.25;0.0;-1.0;16.958333333333332;11.1;21.4;11.012500000000001;;124.33333333333333;3.7875;2.266666666666667;358.7360248447204;139.36624999999998
2009-07-25;0;1;1.8333333333333333;1008.2125000000001;61.041666666666664;0.0;-1.0;17.837500000000002;10.8;23.5;9.512500000000001;;111.83333333333333;5.654166666666668;3.2833333333333328;371.5735248447204;227.7158333333332
2009-07-26;0;1;4.958333333333333;1011.0083333333336;82.5;0.2;-1.0;13.841666666666667;9.2;18.1;10.733333333333334;;76.75;4.9875;2.916666666666666;380.41519151138704;99.25270833333332
2009-07-27;0;1;6.0;1011.65;82.75;0.0;-1.0;15.195833333333331;12.5;19.6;12.070833333333335;;117.20833333333333;5.195833333333333;3.016666666666667;390.61102484472036;151.31020833333338
2009-07-28;0;1;2.5416666666666665;1009.3541666666665;73.25;0.0;-1.0;17.020833333333332;12.5;22.3;11.770833333333334;;183.04166666666666;3.766666666666667;2.0208333333333335;402.6318581780537;236.795625
2009-07-29;0;1;6.0;1013.0083333333332;84.45833333333333;2.0;-1.0;14.533333333333331;10.5;18.6;11.812500000000002;;239.16666666666666;3.6874999999999996;2.120833333333333;412.165191511387;109.20375
2009-07-30;0;1;2.8333333333333335;1018.1083333333335;73.95833333333333;0.0;-1.0;15.1625;10.4;19.8;10.020833333333332;;168.16666666666666;3.1250000000000004;1.7708333333333333;422.327691511387;213.91083333333327
2009-07-31;0;1;3.6666666666666665;1017.9666666666667;78.5;0.0;-1.0;15.116666666666667;9.9;21.5;10.725;;89.625;2.8874999999999997;1.6708333333333336;432.4443581780537;200.19875
2009-08-01;0;1;5.5;1016.8833333333333;76.70833333333333;0.0;-1.0;16.808333333333334;11.2;21.8;12.35;;83.08333333333333;3.308333333333333;2.0249999999999995;444.252691511387;182.46125000000004
2009-08-02;0;1;3.3333333333333335;1019.9;72.95833333333333;0.0;-1.0;16.287499999999998;10.8;21.3;11.020833333333334;;96.875;3.620833333333333;2.225;455.54019151138704;191.2252083333333
2009-08-03;0;1;0.08333333333333333;1021.8208333333336;61.083333333333336;0.0;-1.0;15.566666666666668;9.4;21.4;7.162499999999999;;87.375;3.529166666666667;2.1041666666666665;466.1068581780537;252.92020833333336
