time;UTC;ID;cloudiness;hpa;rh;rainfall;snowdepth;t_mean;t_min;t_max;t_dewpoint;visibility;wind_direction;gust_speed;wind_speed;lamposumma_v;radiation
2007-08-01;0;1;6.680555555555555;995.2756944444443;97.97222222222223;8.209655172413793;-1.0;11.547222222222226;9.3;13.3;11.247222222222225;;129.20138888888889;3.761111111111112;2.111805555555556;6.547222222222226;73.44626777446176
2007-08-02;0;1;5.798611111111111;1004.1166666666663;84.8125;1.2166666666666668;-1.0;13.26736111111111;9.6;18.4;10.49305555555555;;215.02777777777777;5.243055555555553;2.8965277777777763;14.814583333333339;163.4882629865256
2007-08-03;0;1;3.763888888888889;1012.1340277777775;78.89583333333333;2.6333333333333333;-1.0;15.017361111111107;12.0;20.0;10.915972222222223;;207.94444444444446;6.24236111111111;3.51875;24.831944444444446;209.6880910488359
2007-08-04;0;1;6.402777777777778;1015.8562499999999;89.85416666666667;0.0;-1.0;13.223611111111106;10.7;16.2;11.547916666666667;;174.23611111111111;4.834027777777781;2.7652777777777775;33.05555555555555;84.5315544184832
2007-08-05;0;1;6.520833333333333;1012.4965277777776;89.02083333333333;0.20000000000000004;-1.0;13.325000000000003;9.5;16.8;11.438194444444445;;206.77777777777777;4.168750000000001;2.3354166666666685;41.38055555555555;78.84118052764883
2007-08-06;0;1;5.006944444444445;1016.4055555555556;82.65972222222223;0.31666666666666665;-1.0;14.720833333333324;9.3;19.5;11.51875000000001;;180.06944444444446;3.6881944444444446;2.033333333333333;51.10138888888888;155.60107493633208
2007-08-07;0;1;0.4652777777777778;1018.7930555555554;67.42361111111111;0.0;-1.0;18.928472222222215;10.0;25.3;12.297916666666666;;212.89583333333334;6.1083333333333325;3.483333333333334;65.02986111111109;228.47426059939187
2007-08-08;0;1;0.22916666666666666;1018.7541666666677;68.26388888888889;0.0;-1.0;20.915972222222226;14.1;27.0;14.258333333333335;;204.04166666666666;6.709027777777781;3.751388888888889;80.94583333333331;236.61267403373157
2007-08-09;0;1;3.1458333333333335;1013.8611111111107;84.20833333333333;4.452413793103449;-1.0;17.298611111111114;11.2;21.6;14.466666666666661;;222.71527777777777;7.359027777777779;4.263888888888888;93.24444444444443;118.35109360726194
2007-08-10;0;1;4.423611111111111;1017.2979166666674;73.61805555555556;0.0;-1.0;11.346527777777773;6.1;16.5;6.575694444444444;;212.79861111111111;8.379861111111115;4.929166666666668;99.5909722222222;161.39094964275031
2007-08-11;0;1;7.541666666666667;1021.3458333333336;76.69444444444444;0.0;-1.0;9.534722222222221;6.5;12.3;5.500694444444445;;149.95833333333334;3.0423611111111115;1.7555555555555555;104.12569444444443;95.66229724817516
2007-08-12;0;1;7.159722222222222;1013.5569444444445;83.64583333333333;0.15;-1.0;12.143749999999995;8.7;15.8;9.414583333333331;;151.42361111111111;3.5687499999999996;2.080555555555554;111.26944444444443;72.51312995770162
2007-08-13;0;1;6.493055555555555;1007.8520833333338;89.97916666666667;0.8;-1.0;15.887499999999998;11.5;19.6;14.2;;109.79861111111111;2.500694444444443;1.3923611111111118;122.15694444444443;114.4238248322553
2007-08-14;0;1;7.243055555555555;1003.944444444445;96.90972222222223;3.533333333333334;-1.0;16.418749999999992;14.8;19.1;15.915277777777781;;168.11805555555554;3.8118055555555563;2.030555555555556;133.57569444444442;69.52437595857585
2007-08-15;0;1;4.583333333333333;1003.4888888888893;91.80555555555556;0.15000000000000002;-1.0;14.458333333333334;11.1;18.2;13.077083333333336;;216.75;2.6951388888888888;1.5506944444444446;143.03402777777777;117.5853893807122
2007-08-16;0;1;6.194444444444445;997.6201388888888;94.92361111111111;8.77241379310345;-1.0;12.832638888888896;9.2;15.0;12.02708333333333;;172.63888888888889;6.474999999999999;3.6958333333333337;150.86666666666667;41.81442922517923
2007-08-17;0;1;7.138888888888889;991.1652777777783;98.13194444444444;7.493877551020407;-1.0;12.11597222222223;9.4;13.8;11.820833333333333;;210.49305555555554;6.466666666666665;3.5708333333333337;157.9826388888889;42.94750847753951
2007-08-18;0;1;6.923611111111111;999.7180555555557;94.25694444444444;1.7710344827586206;-1.0;10.726388888888891;7.2;15.4;9.78819444444444;;216.81944444444446;3.652083333333334;2.148611111111111;163.7090277777778;96.84400490035586
2007-08-19;0;1;6.839160839160839;1011.0055944055945;83.66433566433567;3.3166666666666664;-1.0;10.083216783216788;7.0;14.1;7.278321678321678;;137.66433566433565;3.3804195804195816;1.9769230769230772;168.7922445609946;140.54154560084882
2007-08-20;0;1;5.055555555555555;1015.6500000000001;90.17361111111111;2.830344827586207;-1.0;10.603472222222221;4.5;15.6;8.945833333333333;;236.97222222222223;4.299305555555557;2.4875;174.3957167832168;115.02134062082291
2007-08-21;0;1;1.1041666666666667;1022.7374999999995;73.31944444444444;0.0;-1.0;9.386805555555553;3.6;15.6;4.395138888888889;;249.95833333333334;3.191666666666666;1.9194444444444438;178.78252233877237;187.207632263206
2007-08-22;0;1;2.9027777777777777;1019.5354166666667;70.21527777777777;0.0;-1.0;10.265277777777778;4.9;16.1;4.624305555555558;;217.04861111111111;2.5722222222222215;1.5562499999999995;184.04780011655015;172.88016378526729
2007-08-23;0;1;5.9020979020979025;1011.8692307692309;80.58041958041959;18.57534246575342;-1.0;12.663636363636357;6.0;17.3;9.23216783216783;;231.27972027972027;7.111188811188811;4.015384615384617;191.7114364801865;102.54039897501521
2007-08-24;0;1;2.2777777777777777;1007.7777777777778;80.8125;0.05;-1.0;9.893055555555556;4.1;15.2;6.511805555555558;;282.53472222222223;6.127083333333335;3.549999999999999;196.60449203574206;149.57775390609967
2007-08-25;0;1;6.131944444444445;1000.074305555555;83.61805555555556;0.0;-1.0;8.731250000000001;3.8;12.5;5.99513888888889;;189.72222222222223;2.90138888888889;1.739583333333333;200.33574203574204;98.0991441565066
2007-08-26;0;1;4.640625;1002.1951388888888;85.5625;0.3666666666666667;-1.0;6.870138888888888;1.9;10.5;4.500000000000001;;94.47916666666667;4.153472222222224;2.388194444444445;202.20588092463092;102.09743649104584
2007-08-27;0;1;5.25;1005.7430555555553;88.74305555555556;2.962758620689655;-1.0;5.852777777777778;0.9;11.9;3.8486111111111105;;163.09027777777777;2.2625;1.195138888888889;203.0586587024087;115.77443030757141
2007-08-28;0;1;3.9375;1006.8722222222231;82.52777777777777;0.0;-1.0;5.713194444444442;1.0;11.3;2.565972222222223;;229.22916666666666;2.900694444444444;1.7902777777777783;203.77185314685315;150.05304409900447
2007-08-29;0;1;1.9513888888888888;1004.6472222222227;77.42361111111111;0.0;-1.0;5.395833333333331;0.8;10.4;1.2909722222222222;;191.92361111111111;2.946527777777776;1.7673611111111105;204.1676864801865;141.11901061402352
2007-08-30;0;1;4.433566433566433;1002.5818181818181;81.34265734265735;0.5;-1.0;4.2657342657342685;-0.2;9.6;0.9615384615384616;;146.74125874125875;3.8937062937062925;2.377622377622377;204.1676864801865;152.52441513045102
2007-08-31;0;1;6.486111111111111;1000.8152777777767;79.97222222222223;0.0;-1.0;4.307638888888887;1.3;8.5;0.9111111111111112;;190.09027777777777;3.7548611111111105;2.1652777777777774;204.1676864801865;136.25282561499486
2007-09-01;0;1;4.381944444444445;1001.2638888888887;84.9375;1.5;-1.0;2.916666666666667;-1.4;8.7;0.46597222222222207;;162.53472222222223;3.1430555555555544;1.8548611111111108;204.1676864801865;108.45461079988605
2007-09-02;0;1;3.8541666666666665;997.9770833333334;80.88194444444444;0.0;-1.0;3.027777777777777;-1.8;9.1;-0.29861111111111094;;128.81944444444446;3.0319444444444437;1.8048611111111121;204.1676864801865;130.39989765184308
2007-09-03;0;1;4.104166666666667;1000.0097222222222;86.31944444444444;0.26666666666666666;-1.0;3.2534722222222205;-1.9;8.9;1.0486111111111105;;117.45833333333333;2.8770833333333354;1.6520833333333333;204.1676864801865;109.30623741187806
2007-09-04;0;1;4.416666666666667;1013.1229166666667;88.47222222222223;6.604137931034482;-1.0;4.250694444444445;-0.6;10.2;2.2624999999999997;;193.86805555555554;3.4430555555555555;2.0784722222222225;204.1676864801865;111.25083846861608
