time;t_mean;rainfall;rh;vpd;wind;radiation;lamposumma_v
1940-01-01;-15.5;1.2;82.32;0.0352;4.0376;;0.0
1940-01-02;-6.129166666666666;0.2;74.45833333333333;0.10083333333333333;4.7404166666666665;2.662037037037037;0.0
1940-01-03;-9.875;0.30000000000000004;78.625;0.06583333333333334;4.6379166666666665;2.4305555555555554;0.0
1940-01-04;-16.8875;0.6000000000000001;84.54166666666667;0.02625;2.1095833333333336;2.662037037037037;0.0
1940-01-05;-8.9125;3.1;91.41666666666667;0.028333333333333332;2.0004166666666667;1.7361111111111112;0.0
1940-01-06;-8.308333333333334;1.3;90.95833333333333;0.03;2.0454166666666667;2.0833333333333335;0.0
1940-01-07;-5.095833333333333;0.0;93.66666666666667;0.02666666666666667;2.0325;2.199074074074074;0.0
1940-01-08;-6.979166666666667;0.0;93.625;0.022083333333333333;0.5645833333333333;1.6203703703703705;0.0
1940-01-09;-9.783333333333333;0.0;91.08333333333333;0.02666666666666667;1.8979166666666665;3.125;0.0
1940-01-10;-2.1374999999999997;0.0;89.0;0.06166666666666667;3.7712499999999998;3.587962962962963;0.0
1940-01-11;3.1458333333333335;0.0;82.08333333333333;0.14;5.486666666666667;3.587962962962963;0.0
1940-01-12;2.4791666666666665;0.4;83.58333333333333;0.12291666666666667;4.6570833333333335;2.199074074074074;0.0
1940-01-13;2.425;0.30000000000000004;78.95833333333333;0.15333333333333335;4.7825;4.513888888888889;0.0
1940-01-14;-6.479166666666667;0.2;78.58333333333333;0.08750000000000001;5.114166666666667;5.787037037037037;0.0
1940-01-15;-22.6875;0.0;76.91666666666667;0.02291666666666667;4.74625;5.902777777777778;0.0
1940-01-16;-20.095833333333335;0.0;78.45833333333333;0.024999999999999998;4.554166666666666;7.060185185185185;0.0
1940-01-17;-21.666666666666668;0.0;80.25;0.02;3.439583333333333;5.439814814814815;0.0
1940-01-18;-19.8125;0.0;79.0;0.029166666666666664;3.37625;7.75462962962963;0.0
1940-01-19;-18.858333333333334;0.2;80.5;0.0275;1.89625;8.796296296296296;0.0
1940-01-20;-19.729166666666668;0.8;83.58333333333333;0.02;1.23375;7.638888888888889;0.0
1940-01-21;-18.445833333333333;0.0;82.66666666666667;0.025833333333333333;1.9791666666666667;6.3657407407407405;0.0
1940-01-22;-17.233333333333334;0.2;83.16666666666667;0.027916666666666663;3.8312500000000003;5.324074074074074;0.0
1940-01-23;-16.150000000000002;0.7000000000000001;83.625;0.030416666666666665;2.3270833333333334;6.597222222222222;0.0
1940-01-24;-16.4375;0.1;84.08333333333333;0.028749999999999998;1.5358333333333334;5.555555555555555;0.0
1940-01-25;-12.108333333333334;0.0;84.79166666666667;0.0375;4.015;12.38425925925926;0.0
1940-01-26;-14.620833333333332;0.0;86.16666666666667;0.025833333333333333;2.732083333333333;12.847222222222221;0.0
1940-01-27;-14.166666666666666;0.0;84.70833333333333;0.030416666666666665;3.14625;11.805555555555555;0.0
1940-01-28;-14.066666666666668;0.0;84.91666666666667;0.03166666666666667;2.8216666666666668;13.773148148148149;0.0
1940-01-29;-13.979166666666666;0.0;80.75;0.042083333333333334;2.1654166666666668;13.078703703703704;0.0
1940-01-30;-14.916666666666666;0.0;73.91666666666667;0.0525;2.768333333333333;17.708333333333332;0.0
1940-01-31;-18.6875;0.0;79.04166666666667;0.030833333333333334;2.6158333333333332;18.287037037037038;0.0
1940-02-01;-16.954166666666666;0.0;71.75;0.04583333333333334;3.375833333333333;19.560185185185187;0.0
1940-02-02;-15.708333333333334;0.0;74.58333333333333;0.04708333333333334;2.6454166666666667;19.675925925925927;0.0
1940-02-03;-21.412499999999998;0.0;76.125;0.02666666666666667;1.2341666666666666;21.296296296296298;0.0
1940-02-04;-20.775000000000002;0.0;80.0;0.02125;2.4591666666666665;16.550925925925927;0.0
1940-02-05;-20.145833333333332;0.1;80.125;0.022083333333333333;3.1945833333333336;19.444444444444443;0.0
1940-02-06;-18.491666666666667;0.0;81.58333333333333;0.024166666666666666;2.856666666666667;17.59259259259259;0.0
1940-02-07;-19.995833333333334;0.0;80.875;0.022500000000000003;2.5625;22.22222222222222;0.0
1940-02-08;-17.516666666666666;0.7000000000000001;81.41666666666667;0.028333333333333332;3.3679166666666664;16.319444444444443;0.0
1940-02-09;-12.616666666666667;1.3;83.54166666666667;0.04;3.7424999999999997;18.055555555555557;0.0
1940-02-10;-11.891666666666666;0.6000000000000001;84.91666666666667;0.0375;4.253333333333333;26.50462962962963;0.0
1940-02-11;-5.9750000000000005;2.5;89.16666666666667;0.043333333333333335;3.325833333333333;14.351851851851851;0.0
1940-02-12;-10.0375;0.30000000000000004;86.25;0.041666666666666664;1.8154166666666667;17.24537037037037;0.0
1940-02-13;-16.266666666666666;0.0;86.70833333333333;0.023749999999999997;1.1875;20.949074074074073;0.0
1940-02-14;-19.691666666666666;0.0;81.375;0.024166666666666666;2.0837499999999998;34.49074074074074;0.0
1940-02-15;-8.266666666666667;0.0;84.45833333333333;0.05375;4.4870833333333335;32.638888888888886;0.0
1940-02-16;-7.908333333333334;0.4;85.58333333333333;0.049999999999999996;2.689583333333333;21.99074074074074;0.0
1940-02-17;-19.666666666666668;0.0;82.29166666666667;0.02291666666666667;2.2904166666666668;43.75;0.0
1940-02-18;-20.358333333333334;0.0;74.25;0.035416666666666666;3.7295833333333337;48.379629629629626;0.0
1940-02-19;-12.450000000000001;0.0;72.125;0.0725;4.74;48.03240740740741;0.0
1940-02-20;-9.029166666666667;0.0;76.5;0.07541666666666667;5.26875;47.453703703703695;0.0
